# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50750
#@/user_id	sync_config
a 	啊	c=250 d=1.254 t=50750
a 	阿	c=5 d=0.00153866 t=50750
a a 	啊啊	c=4 d=9.31412e-18 t=50750
a a a 	啊啊啊	c=2 d=6.68451e-18 t=50750
a a a a 	啊啊啊啊	c=1 d=9.36081e-18 t=50750
a a a a a a 	啊啊啊啊啊啊	c=1 d=3.06955e-18 t=50750
a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊	c=1 d=3.13156e-18 t=50750
a a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=3.11594e-18 t=50750
a li 	阿里	c=9 d=0.0025689 t=50750
a li ya 	阿丽雅	c=1 d=0.151072 t=50750
a li yun 	阿里雲	c=1 d=0.00150344 t=50750
a shi fa dian suo 	啊是發電所	c=1 d=0.00120052 t=50750
a si dun 	阿斯頓	c=5 d=8.2393e-09 t=50750
ai 	唉	c=1 d=3.21805e-15 t=50750
ai 	愛	c=1 d=0.200697 t=50750
ai chi 	愛喫	c=1 d=4.45388e-15 t=50750
ai da ai de fa sheng di fang 	愛大愛的發生地方	c=1 d=0.196912 t=50750
ai de 	愛的	c=0 d=0.019593 t=50750
ai de dan da du dou de 	愛的單打獨鬥的	c=1 d=4.30774e-93 t=50750
ai de fa da shou fei 	愛的發達收費	c=3 d=0.000146278 t=50750
ai de fa fang a 	愛的發放啊	c=1 d=0.0135009 t=50750
ai ni 	愛你	c=2 d=0.860708 t=50750
ai qing 	愛情	c=1 d=3.19428e-16 t=50750
ai shang 	愛上	c=1 d=0.00227676 t=50750
ai shi di fang 	愛是地方	c=10 d=1.50874e-06 t=50750
ai shi di fang shi a di fang 	愛是地方是啊地方	c=1 d=1.38474e-06 t=50750
ai ta 	愛他	c=0 d=8.94891e-19 t=50750
